id,brewersName,beerName,style,abv,description,servingMethod
1,Thornbridge Brewery,Jaipur,India Pale Ale,5.9,"A bold, citrus-forward IPA bursting with grapefruit, mango and pine resin. A clean bitter finish that keeps you coming back.",Cask
2,Fuller's Brewery,London Pride,Extra Special Bitter,4.7,"A rich, balanced ESB with toffee malt, earthy Fuggle hops and a hint of orange peel. The definitive London classic.",Cask
3,Dark Star Brewing Co.,Hophead,Golden Ale,3.8,"Crisp and refreshing with a floral, grassy hop aroma and subtle fruit notes. Dangerously easy to drink.",Cask
4,Brew By Numbers,01|01 Saison,Saison,6.5,"Hazy straw-yellow with spicy, peppery yeast character. Light stone fruit, lemon zest and a dry, champagne-like finish.",Keg
5,Beavertown Brewery,Gamma Ray,American Pale Ale,5.4,"A West Coast-inspired pale with huge tropical fruit aromas — passion fruit, mango and pineapple — underpinned by a firm bitterness.",Keg
6,Oakham Ales,Citra,Golden Ale,4.2,"Single-hopped with Citra for an explosion of lychee, gooseberry and grapefruit. Pale, bright and supremely quaffable.",Cask
7,Marble Beers,Manchester Bitter,Bitter,4.2,"A modern take on the classic Northern bitter — light copper colour, biscuit malt base and a snappy, grassy hop finish.",Cask
8,Magic Rock Brewing,Cannonball,India Pale Ale,7.4,"Punchy, resinous and tropical. Loads of grapefruit and pine from generous dry-hopping. Full-bodied with a long, warming finish.",Keg
9,St Austell Brewery,Proper Job,India Pale Ale,5.5,"A Cornish IPA with bags of citrus and stone fruit flavour, a malt backbone and a satisfyingly dry, bitter aftertaste.",Cask
10,Tiny Rebel Brewing Co.,Cwtch,Red Ale,4.6,"Welsh for cuddle — warm, malty and inviting. Toffee and caramel upfront with a gentle floral hop and a smooth, soft finish.",Cask
11,Siren Craft Brew,Broken Dream,Breakfast Stout,6.5,"Rich and indulgent with roasted coffee, dark chocolate and a whisper of vanilla. Smooth, creamy body and a lingering bitter finish.",Cask
12,Wild Beer Co.,Bibble,Pale Ale,4.2,"Hazy and hop-forward with fresh lemon, white peach and herbal notes. Light-bodied and wonderfully aromatic.",Cask
13,BrewDog,Punk IPA,India Pale Ale,5.6,"The beer that rewrote the rulebook. Subversive, hoppy and attitudinal. Grapefruit, pineapple and lychee with a clean, dry finish.",Keg
14,Timothy Taylor's,Landlord,Strong Pale Ale,4.3,"A four-times CAMRA Champion Beer of Britain. Floral Styrian hops, crystal malt sweetness and a perfectly balanced bitter finish.",Cask
15,Cloudwater Brew Co.,DIPA,Double IPA,8.0,"Season-defining double IPA. Soft, pillowy mouthfeel with intense tropical fruit, melon and a deceptively gentle bitterness for the strength.",Keg
16,Harvey's Brewery,Sussex Best Bitter,Best Bitter,4.0,"A true traditional bitter. Rich amber colour, full malt character with hints of dried fruit and a long, dry, hoppy finish.",Cask
17,Kernel Brewery,Table Beer,Session Pale Ale,3.3,"Low alcohol, high flavour — citrus zest, fresh herbs and a subtle earthiness. The perfect session companion.",Cask
18,Moor Beer Company,Revival,Session IPA,3.8,"Unfiltered and unfined. Hazy gold with bold tropical and citrus hops punching well above the sessionable ABV.",Cask
19,Hawkshead Brewery,Windermere Pale,Pale Ale,3.5,"Light, clean and refreshing. Delicate floral and grassy hops with a hint of lemon, reflecting the freshness of the Lake District.",Cask
20,Meantime Brewing Company,London Lager,Lager,4.5,"Crisp European-style lager brewed in Greenwich. Noble hops, soft bready malt and a clean, refreshing finish that honours London's brewing heritage.",Keg
